Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runaoxwszg7_GraphSage_hyperr331wcgf,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,18.49870657920837,18.603593826293945,46928
cora_runtjnqv6k9_GraphSage_hyper9y9tqw93,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,12.441054582595823,12.547430753707886,47489
cora_runtjnqv6k9_GraphSage_hyperu02dxmjr,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.041311502456665,6.208194017410278,47489
cora_runtjnqv6k9_GraphSage_hyperznodkwas,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,6.184461116790772,6.331258773803711,47489
cora_runaoxwszg7_GraphSage_hyperbxvrs81l,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,22.25346088409424,22.30831384658813,46928
cora_runtjnqv6k9_GraphSage_hypervmrkk6pq,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,5.812140941619873,5.869255065917969,47489
cora_runaoxwszg7_GraphSage_hyper1dbxob97,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,8.152812242507935,8.241915941238403,46928
cora_runtjnqv6k9_GraphSage_hyperabw2on1m,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,7.081060886383057,7.25564980506897,47489
cora_runaoxwszg7_GraphSage_hyper6ki4wuhb,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,8.338625192642212,8.395763158798218,46928
cora_runtjnqv6k9_GraphSage_hyperne65k2tr,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,13.78973627090454,13.826759576797484,47489
cora_runaoxwszg7_GraphSage_hypera9tbkf96,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,10.876355648040771,10.930482149124146,46928
cora_runaoxwszg7_GraphSage_hypern2zs4w6k,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,12.611077785491943,12.79317021369934,46928
cora_runtjnqv6k9_GraphSage_hyper4m94zym9,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,19.902580499649048,19.943984270095825,47489
cora_runaoxwszg7_GraphSage_hypergsgl5zuc,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.619776964187622,5.800815105438232,46928
cora_runaoxwszg7_GraphSage_hyperqoix4jy4,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,6.157434940338135,6.346750736236572,46928
cora_runtjnqv6k9_GraphSage_hypermy05rdwh,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,20.89793348312378,21.0082266330719,47489
cora_runaoxwszg7_GraphSage_hyperf8fixkhl,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,7.003264904022217,7.1173741817474365,46928
cora_runaoxwszg7_GraphSage_hyper99era05v,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.491164207458496,5.558576583862305,46928
cora_runaoxwszg7_GraphSage_hyperdssv98ko,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,13.636366844177246,13.769173622131348,46928
cora_runtjnqv6k9_GraphSage_hyper7xpavrck,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,21.900222778320312,21.978142976760864,47489
cora_runtjnqv6k9_GraphSage_hypervn6inx6e,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.742098808288574,10.882558822631836,47489
