Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_run1qacz7uf_GAT_hyperqdeuhtuh,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,15.990819215774536,16.1358060836792,217344
cora_run1qacz7uf_GAT_hyper2rurr2gx,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,5.669932842254639,5.788801193237305,217344
cora_runqeogi6ee_GAT_hyper7mctodip,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,12.454665422439575,12.55576515197754,217344
cora_run1qacz7uf_GAT_hyper2s8h0lx6,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.608140468597412,7.744127035140991,217344
cora_runqeogi6ee_GAT_hyperacufeaf9,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.299413442611694,7.381149768829346,217344
cora_run1qacz7uf_GAT_hyperw8i3bmma,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.738626718521118,6.802017688751221,217344
cora_runqeogi6ee_GAT_hyperv484ham6,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.021186828613281,8.17760443687439,217344
cora_run1qacz7uf_GAT_hypercfxtrk4c,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.355240106582642,7.465922117233276,217344
cora_runqeogi6ee_GAT_hypernvaifr67,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.343915224075317,7.450998067855835,217344
cora_runqeogi6ee_GAT_hyper7ns556kx,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.877942800521851,8.05527114868164,217344
cora_run1qacz7uf_GAT_hypereo36t6b2,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,11.949155807495115,11.98909044265747,217344
cora_runqeogi6ee_GAT_hyperv24gzm90,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,16.34669041633606,16.3897488117218,217344
cora_run1qacz7uf_GAT_hyperli2o9ro0,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,18.496309280395508,18.58535504341125,217344
cora_runqeogi6ee_GAT_hyperkvkmxoa4,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,19.52883243560791,19.57951712608337,217344
cora_run1qacz7uf_GAT_hyper6jamgkhs,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.14055228233337,24.248358011245728,217344
cora_runqeogi6ee_GAT_hyper46aowm9c,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,25.829598665237427,25.90460181236267,217344
cora_run1qacz7uf_GAT_hyperkruqetet,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,28.873267889022827,28.95171046257019,217344
cora_run1qacz7uf_GAT_hyperef2dhvwq,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,11.510266780853271,11.598188400268556,217344
cora_runqeogi6ee_GAT_hyperfyic74bc,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.29616928100586,24.41955089569092,217344
cora_run1qacz7uf_GAT_hyperaocovmw8,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,13.343291521072388,13.525991439819336,217344
cora_runqeogi6ee_GAT_hyperwxsokmah,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,10.695177793502808,10.792698860168455,217344
cora_runqeogi6ee_GAT_hyperdfq175kq,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,11.38919973373413,11.434322118759155,217344
cora_run1qacz7uf_GAT_hypersjr9ecf0,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,14.618348360061646,14.69583249092102,217344
cora_runqeogi6ee_GAT_hyper2vd4d128,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,14.369572162628174,14.472482681274414,217344
cora_run1qacz7uf_GAT_hypera90aojjt,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,14.07762336730957,14.179994106292725,217344
cora_run1qacz7uf_GAT_hyperaa3fopcq,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.666338682174683,6.742799758911133,217344
cora_runqeogi6ee_GAT_hyperfkdxicrh,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,16.618202209472656,16.670189380645752,217344
cora_run1qacz7uf_GAT_hyperjopsb2bs,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,4.3731231689453125,4.425359725952148,217344
cora_runqeogi6ee_GAT_hyperf6kl0hbn,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.4594199657440186,6.508477449417114,217344
cora_run1qacz7uf_GAT_hyper2d8wy1dn,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.332465887069702,7.38776159286499,217344
cora_runqeogi6ee_GAT_hyperj2y9wc9c,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.28354549407959,7.407593011856079,217344
cora_run1qacz7uf_GAT_hyperddk9d7dr,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,6.582678318023682,6.637520790100098,217344
cora_runqeogi6ee_GAT_hyperi1es2wgj,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.15060043334961,8.313721418380737,217344
cora_runqeogi6ee_GAT_hyperkuiq5koq,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,7.918328762054443,8.057496070861816,217344
cora_run1qacz7uf_GAT_hypergiu7c3gy,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,17.083536624908447,17.20597767829895,217344
cora_runqeogi6ee_GAT_hypervq3acd30,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,18.11968851089477,18.260496616363525,217344
cora_run1qacz7uf_GAT_hyperv3377gro,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,24.094613075256348,24.184767723083496,217344
cora_runqeogi6ee_GAT_hyper6hon03ug,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,18.233994960784912,18.333426237106323,217344
cora_run1qacz7uf_GAT_hyper2dasohkz,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,19.74386405944824,19.79164695739746,217344
cora_runqeogi6ee_GAT_hypermizfnkru,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,25.667224884033203,25.723164796829224,217344
cora_run1qacz7uf_GAT_hyperv571yhhh,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,28.78652215003968,28.941858291625977,217344
cora_run1qacz7uf_GAT_hypercd7f137s,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,11.301117181777954,11.455269813537598,217344
cora_runqeogi6ee_GAT_hyper2a16wl8p,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,27.60882258415222,27.664548873901367,217344
cora_runqeogi6ee_GAT_hyperadqwjj04,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,9.030759334564207,9.141397714614868,217344
cora_run1qacz7uf_GAT_hypervcwu1jh0,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,8.979488372802734,9.09216022491455,217344
cora_runqeogi6ee_GAT_hyper0jikcex0,27.53,39.37,73.13,93.91,99.68,100.0,40.81,27.53,39.37,73.13,93.91,99.68,100.0,96.83,96.59,92.37,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,13.783877611160278,13.86864948272705,217344
cora_run1qacz7uf_GAT_hyper2052c11u,2.37,40.68,92.28,96.64,100.0,100.0,28.37,2.37,40.68,92.28,96.64,100.0,100.0,96.33,96.72,94.92,128,128,4,0.1,0.0,3,0.015,3,2,32,1,3,0.1,inner,20,15.497825145721436,15.547325134277344,217344
