Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runcqa73rb1_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,20,7,50
cora_runcc6m7hrj_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,20,8,50
cora_run8sygb747_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,30,6,50
cora_runsp8yhyfn_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,30,7,50
cora_runj9b6nn10_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,30,8,50
cora_runm1taz8sp_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,40,6,50
cora_rune89b4al0_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,40,7,50
cora_runhjwkd1wi_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,32,40,8,50
cora_run87qv7m77_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,5,6,50
cora_runi5uy18mj_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,5,7,50
cora_runqdpxgiu6_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,5,8,50
cora_runvvwbkd13_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,10,6,50
cora_runo09logfi_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,10,7,50
cora_runiqaodksl_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,10,8,50
cora_runqtyskypf_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,20,6,50
cora_runti215ttu_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,20,7,50
cora_runv6go26c4_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,20,8,50
cora_runq72k9v5g_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,30,6,50
cora_rungrjyqdih_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,30,7,50
cora_runyq74h10a_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,30,8,50
cora_run0ew4iv5q_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,40,6,50
cora_run18hy68en_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,40,7,50
cora_run7jzwmj9s_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,64,40,8,50
cora_runfmq4l4bf_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,5,6,50
cora_runtd9lu4ki_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,5,7,50
cora_runwmug5c0m_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,5,8,50
cora_runi5qpbmim_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,10,6,50
cora_run9nounmgz_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,10,7,50
cora_run8lnztcvr_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,10,8,50
cora_runn0ur8zic_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,20,6,50
cora_runzh6pbgy0_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,20,7,50
cora_runbvj33g7w_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,20,8,50
cora_run2u0r4f8v_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,30,6,50
cora_runc0payd3m_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,32,0.01,128,30,7,50
